"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Roadmaps","Project Milestone ID","Project Milestone","SLA Status"
"T1A-44","T1a3","List books by length",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T02:02:19.800Z","2023-10-24T02:30:07.915Z",,,,,,,,"",,,
"T1A-22","T1a3","Create 'at a glance' view of currently read book(s) with detailed statistics (e.g., progress)",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:08:52.061Z","2023-10-23T01:59:28.818Z",,,,,,,,"",,,
"T1A-23","T1a3","Create condensed list view of to be read books with basic statistics (title, author, tags)",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:09:25.664Z","2023-10-23T01:59:38.759Z",,,,,,,,"",,,
"T1A-34","T1a3","Adjust reading speed (slow, average, fast, custom",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:23:52.666Z","2023-10-19T23:28:13.555Z",,,,,,,"T1A-32","",,,
"T1A-35","T1a3","Modify time left to read according to custom daily reading hours goal",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:24:14.217Z","2023-10-19T23:28:07.276Z",,,,,,,"T1A-32","",,,
"T1A-33","T1a3","Calculate general time to left to read book",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:23:23.033Z","2023-10-19T23:28:00.952Z",,,,,,,"T1A-32","",,,
"T1A-32","T1a3","Calculate time left to read book",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:21:11.853Z","2023-10-19T23:27:51.978Z",,,,,,,,"",,,
"T1A-39","T1a3","Force title case on returned book values",,"Backlog",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T01:22:02.560Z","2023-10-24T02:32:29.232Z",,,,,,,,"",,,
"T1A-14","T1a3","Allow user to quit at any stage by typing '/quit'",,"Backlog",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:01:03.667Z","2023-10-24T02:30:03.940Z",,,,,,,"T1A-13","",,,
"T1A-53","T1a3","Add ability to mark random to be read book as currently reading",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T23:41:06.862Z","2023-10-24T02:32:41.028Z",,,,,,,,"",,,
