"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Roadmaps","Project Milestone ID","Project Milestone","SLA Status"
"T1A-65","T1a3","Create custom bash script arguments",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T05:54:04.285Z","2023-10-26T05:33:01.472Z",,,,,,"2023-10-24T13:00:00.000Z",,"",,,
"T1A-44","T1a3","List books by length",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T02:02:19.800Z","2023-10-24T02:30:07.915Z",,,,,,,,"",,,
"T1A-22","T1a3","Create 'at a glance' view of currently read book(s) with detailed statistics (e.g., progress)",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:08:52.061Z","2023-10-23T01:59:28.818Z",,,,,,,,"",,,
"T1A-23","T1a3","Create condensed list view of to be read books with basic statistics (title, author, tags)",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:09:25.664Z","2023-10-23T01:59:38.759Z",,,,,,,,"",,,
"T1A-34","T1a3","Adjust reading speed (slow, average, fast, custom",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:23:52.666Z","2023-10-19T23:28:13.555Z",,,,,,,"T1A-32","",,,
"T1A-35","T1a3","Modify time left to read according to custom daily reading hours goal",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:24:14.217Z","2023-10-19T23:28:07.276Z",,,,,,,"T1A-32","",,,
"T1A-33","T1a3","Calculate general time to left to read book",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:23:23.033Z","2023-10-19T23:28:00.952Z",,,,,,,"T1A-32","",,,
"T1A-32","T1a3","Calculate time left to read book",,"Backlog",,"High",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:21:11.853Z","2023-10-19T23:27:51.978Z",,,,,,,,"",,,
"T1A-39","T1a3","Force title case on returned book values",,"Backlog",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T01:22:02.560Z","2023-10-24T02:32:29.232Z",,,,,,,,"",,,
"T1A-14","T1a3","Allow user to quit at any stage by typing '/quit'",,"Backlog",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-19T23:01:03.667Z","2023-10-24T02:30:03.940Z",,,,,,,"T1A-13","",,,
"T1A-27","T1a3","Retrieve list of books with bash script",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:14:20.680Z","2023-10-26T05:33:00.806Z",,,,,,,"T1A-65","",,,
"T1A-53","T1a3","Add ability to mark random to be read book as currently reading",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T23:41:06.862Z","2023-10-24T02:32:41.028Z",,,,,,,,"",,,
"T1A-26","T1a3","Retrieve book information by querying Google Books API with ISBNs",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:11:46.782Z","2023-10-19T23:26:25.161Z",,,,,,,,"",,,
"T1A-25","T1a3","Import books with Goodreads CSV",,"Backlog",,"Low",,,"tobyfehily@gmail.com",,"Stretch goal",,,,,"2023-10-19T23:11:19.014Z","2023-10-19T23:26:05.522Z",,,,,,,,"",,,
"T1A-19","T1a3","Mark books as currently read or to be read",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:06:45.540Z","2023-10-23T01:59:49.061Z",,,"2023-10-23T01:59:49.042Z",,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-29","T1a3","Update currently reading book(s) progress",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:18:08.147Z","2023-10-23T01:59:15.943Z",,,"2023-10-23T01:59:15.870Z",,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-10","T1a3","Add and remove books","","Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:54:30.752Z","2023-10-23T01:59:10.457Z",,,"2023-10-23T01:59:10.439Z",,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-30","T1a3","Update progress by pages",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:18:41.001Z","2023-10-23T01:37:32.874Z",,,"2023-10-23T01:37:32.859Z",,,"2023-10-22T13:00:00.000Z","T1A-29","",,,
"T1A-21","T1a3","Allow user to mark book as currently read or to be read",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:07:33.827Z","2023-10-23T01:16:22.107Z",,,"2023-10-23T01:16:22.092Z",,,"2023-10-22T13:00:00.000Z","T1A-19","",,,
"T1A-20","T1a3","Return added books as a list",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:07:23.387Z","2023-10-23T01:03:51.917Z",,,"2023-10-23T01:03:51.898Z",,,"2023-10-22T13:00:00.000Z","T1A-19","",,,
"T1A-28","T1a3","Return a list or random choice of to be read book(s)",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:15:49.630Z","2023-10-23T00:21:47.187Z","2023-10-22T23:08:36.223Z",,"2023-10-23T00:21:47.171Z",,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-12","T1a3","Allow user to remove books (title, author)",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:55:37.583Z","2023-10-23T00:11:27.153Z","2023-10-22T22:16:27.109Z",,"2023-10-23T00:11:27.137Z",,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
